BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:10:46:423 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],308,0,748,64
[min],0,0,451,64
[max],535,465,1056,64
[mean],350.1418581,57.24675325,648.6113886,64
[steps],1000,1000,1000,1000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1056,64
,32,20,1004,64
,79,295,682,64
,140,465,451,64
,198,405,453,64
,254,348,454,64
,307,291,458,64
,359,237,460,64
,395,184,477,64
,439,138,479,64
,485,89,482,64
,503,40,513,64
,513,6,537,64
,500,0,556,64
,482,0,574,64
,463,0,593,64
,448,0,608,64
,426,0,630,64
,407,1,648,64
,387,0,669,64
,369,13,674,64
,360,26,670,64
,352,34,670,64
,364,62,630,64
,384,125,547,64
,418,112,526,64
,444,100,512,64
,481,70,505,64
,495,22,539,64
,483,8,565,64
,465,15,576,64
,449,1,606,64
,414,0,642,64
,391,5,660,64
,371,13,672,64
,367,12,677,64
,352,18,686,64
,331,19,706,64
,313,11,732,64
,311,32,713,64
,320,32,704,64
,328,4,724,64
,306,3,747,64
,302,49,705,64
,327,147,582,64
,363,190,503,64
,400,165,491,64
,436,139,481,64
,476,91,489,64
,507,33,516,64
,499,7,550,64
,479,1,576,64
,454,1,601,64
,430,0,626,64
,399,0,657,64
,370,1,685,64
,357,0,699,64
,331,1,724,64
,312,0,744,64
,301,1,754,64
,283,14,759,64
,295,43,718,64
,316,55,685,64
,339,81,636,64
,365,159,532,64
,401,159,496,64
,440,128,488,64
,472,84,500,64
,493,20,543,64
,478,12,566,64
,463,12,581,64
,445,12,599,64
,424,9,623,64
,402,0,654,64
,378,1,677,64
,356,0,700,64
,330,0,726,64
,306,1,749,64
,280,1,775,64
,269,1,786,64
,250,0,806,64
,232,0,824,64
,218,0,838,64
,201,0,855,64
,178,0,878,64
,175,18,863,64
,184,69,803,64
,221,216,619,64
,267,324,465,64
,309,279,468,64
,359,236,461,64
,392,184,480,64
,427,149,480,64
,451,114,491,64
,490,78,488,64
,502,41,513,64
,499,23,534,64
,496,13,547,64
,478,1,577,64
,457,0,599,64
,439,0,617,64
,420,1,635,64
,402,3,651,64
,397,14,645,64
,399,5,652,64
,388,1,667,64
,371,1,684,64
,355,0,701,64
,329,1,726,64
,311,1,744,64
,286,0,770,64
,263,3,790,64
,259,82,715,64
,278,127,651,64
,315,209,532,64
,350,230,476,64
,384,193,479,64
,419,157,480,64
,445,119,492,64
,471,80,505,64
,497,25,534,64
,485,2,569,64
,462,0,594,64
,434,0,622,64
,402,0,654,64
,382,0,674,64
,367,0,689,64
,355,0,701,64
,334,0,722,64
,317,0,739,64
,299,0,757,64
,286,0,770,64
,270,0,786,64
,245,0,811,64
,237,1,818,64
,231,1,824,64
,220,0,836,64
,197,0,859,64
,178,2,876,64
,167,1,888,64
,157,0,899,64
,140,0,916,64
,119,1,936,64
,109,1,946,64
,97,0,959,64
,85,0,971,64
,75,1,980,64
,71,1,984,64
,67,1,988,64
,85,82,889,64
,140,354,562,64
,192,406,458,64
,249,353,454,64
,296,298,462,64
,347,249,460,64
,392,199,465,64
,418,153,485,64
,468,114,474,64
,505,54,497,64
,515,17,524,64
,511,2,543,64
,496,0,560,64
,470,0,586,64
,443,0,613,64
,423,0,633,64
,404,0,652,64
,372,0,684,64
,357,0,699,64
,332,1,723,64
,316,0,740,64
,293,0,763,64
,276,0,780,64
,255,1,800,64
,238,0,818,64
,220,0,836,64
,199,0,857,64
,179,1,876,64
,166,1,889,64
,149,0,907,64
,136,0,920,64
,116,1,939,64
,102,0,954,64
,85,1,970,64
,79,2,975,64
,71,1,984,64
,58,8,990,64
,76,127,853,64
,132,404,520,64
,183,413,460,64
,240,363,453,64
,288,306,462,64
,338,257,461,64
,394,207,455,64
,445,148,463,64
,482,90,484,64
,516,45,495,64
,535,1,520,64
,520,1,535,64
,510,0,546,64
,490,0,566,64
,473,1,582,64
,450,0,606,64
,435,1,620,64
,421,0,635,64
,400,0,656,64
,390,0,666,64
,367,1,688,64
,347,0,709,64
,324,0,732,64
,299,0,757,64
,279,1,776,64
,268,1,787,64
,248,3,805,64
,241,1,814,64
,224,0,832,64
,199,0,857,64
,178,2,876,64
,166,29,861,64
,188,140,728,64
