BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:05:57:814 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],466,25,565,64
[min],0,0,458,64
[max],528,483,1056,64
[mean],351.9260739,52.38861139,651.6853147,64
[steps],1000,1000,1000,1000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1056,64
,45,189,822,64
,105,483,468,64
,165,433,458,64
,216,373,467,64
,269,322,465,64
,317,269,470,64
,362,224,470,64
,407,177,472,64
,456,127,473,64
,499,67,490,64
,521,16,519,64
,515,0,541,64
,501,0,555,64
,486,0,570,64
,470,0,586,64
,448,0,608,64
,430,0,626,64
,412,0,644,64
,396,0,660,64
,374,0,682,64
,365,1,690,64
,351,7,698,64
,351,28,677,64
,360,27,669,64
,352,12,692,64
,358,37,661,64
,360,49,647,64
,378,64,614,64
,400,102,554,64
,426,103,527,64
,451,71,534,64
,457,31,568,64
,456,10,590,64
,429,0,627,64
,405,11,640,64
,392,0,664,64
,371,12,673,64
,363,1,692,64
,344,0,712,64
,330,6,720,64
,314,9,733,64
,310,43,703,64
,333,70,653,64
,359,101,596,64
,393,133,530,64
,438,123,495,64
,468,85,503,64
,503,45,508,64
,516,3,537,64
,498,6,552,64
,483,7,566,64
,460,1,595,64
,441,2,613,64
,414,2,640,64
,396,1,659,64
,372,2,682,64
,346,0,710,64
,320,1,735,64
,306,0,750,64
,288,0,768,64
,257,0,799,64
,238,3,815,64
,221,0,835,64
,208,0,848,64
,193,0,863,64
,178,1,877,64
,167,0,889,64
,156,5,895,64
,164,70,822,64
,204,153,699,64
,249,306,501,64
,292,289,475,64
,337,246,473,64
,376,198,482,64
,415,155,486,64
,451,103,502,64
,479,63,514,64
,498,32,526,64
,504,10,542,64
,502,0,554,64
,486,1,569,64
,469,1,586,64
,453,1,602,64
,432,0,624,64
,414,2,640,64
,394,2,660,64
,376,6,674,64
,359,1,696,64
,343,1,712,64
,319,1,736,64
,299,2,755,64
,283,1,772,64
,268,2,786,64
,254,0,802,64
,239,0,817,64
,221,0,835,64
,194,4,858,64
,189,22,845,64
,198,78,780,64
,233,253,570,64
,280,298,478,64
,315,257,484,64
,355,223,478,64
,399,183,474,64
,434,134,488,64
,470,90,496,64
,490,41,525,64
,495,21,540,64
,497,3,556,64
,474,0,582,64
,457,2,597,64
,455,17,584,64
,453,9,594,64
,435,4,617,64
,420,11,625,64
,416,12,628,64
,396,1,659,64
,380,1,675,64
,359,0,697,64
,351,1,704,64
,319,1,736,64
,310,4,742,64
,291,2,763,64
,279,0,777,64
,262,8,786,64
,266,28,762,64
,275,55,726,64
,298,152,606,64
,330,221,505,64
,364,204,488,64
,394,163,499,64
,421,140,495,64
,454,100,502,64
,479,50,527,64
,487,6,563,64
,472,2,582,64
,459,1,596,64
,436,1,619,64
,416,2,638,64
,408,2,646,64
,390,0,666,64
,381,1,674,64
,358,9,689,64
,351,6,699,64
,338,2,716,64
,323,1,732,64
,319,1,736,64
,310,0,746,64
,278,1,777,64
,264,2,790,64
,253,1,802,64
,246,15,795,64
,246,11,799,64
,236,62,758,64
,265,201,590,64
,305,256,495,64
,331,225,500,64
,365,201,490,64
,400,166,490,64
,433,134,489,64
,462,86,508,64
,487,39,530,64
,490,12,554,64
,481,3,572,64
,467,1,588,64
,449,0,607,64
,436,0,620,64
,417,0,639,64
,397,1,658,64
,375,2,679,64
,362,1,693,64
,339,0,717,64
,323,0,733,64
,319,12,725,64
,315,19,722,64
,327,55,674,64
,359,126,571,64
,394,149,513,64
,425,118,513,64
,452,102,502,64
,475,67,514,64
,492,15,549,64
,483,1,572,64
,458,0,598,64
,421,1,634,64
,398,0,658,64
,362,2,692,64
,336,1,719,64
,318,4,734,64
,297,2,757,64
,298,18,740,64
,312,60,684,64
,354,122,580,64
,400,164,492,64
,439,132,485,64
,474,86,496,64
,497,35,524,64
,504,10,542,64
,489,1,566,64
,468,0,588,64
,444,1,611,64
,414,1,641,64
,401,1,654,64
,376,0,680,64
,347,0,709,64
,328,0,728,64
,307,0,749,64
,284,0,772,64
,268,0,788,64
,243,0,813,64
,216,10,830,64
,213,51,792,64
,245,141,670,64
,286,271,499,64
,341,243,472,64
,382,190,484,64
,418,151,487,64
,459,104,493,64
