BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:13:10:014 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],212,1,843,64
[min],0,0,444,64
[max],541,484,1056,64
[mean],352.2317682,53.96603397,649.8021978,64
[steps],1000,1000,1000,1000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1056,64
,38,211,807,64
,98,484,474,64
,156,456,444,64
,210,401,445,64
,261,345,450,64
,313,293,450,64
,358,241,457,64
,410,196,450,64
,457,143,456,64
,498,86,472,64
,531,37,488,64
,541,1,514,64
,523,2,531,64
,500,2,554,64
,484,0,572,64
,467,1,588,64
,445,0,611,64
,426,0,630,64
,414,1,641,64
,399,7,650,64
,390,17,649,64
,387,8,661,64
,378,1,677,64
,363,0,693,64
,341,0,715,64
,317,0,739,64
,305,14,737,64
,302,55,699,64
,327,122,607,64
,356,204,496,64
,387,189,480,64
,406,151,499,64
,428,119,509,64
,450,98,508,64
,484,85,487,64
,520,36,500,64
,510,8,538,64
,492,0,564,64
,473,0,583,64
,450,1,605,64
,428,0,628,64
,416,0,640,64
,402,0,654,64
,387,3,666,64
,376,0,680,64
,354,0,702,64
,340,0,716,64
,318,0,738,64
,294,2,760,64
,285,24,747,64
,294,50,712,64
,311,83,662,64
,342,179,535,64
,370,210,476,64
,405,172,479,64
,442,138,476,64
,472,98,486,64
,500,48,508,64
,504,12,540,64
,487,2,567,64
,450,1,605,64
,425,0,631,64
,394,2,660,64
,375,0,681,64
,350,0,706,64
,326,1,729,64
,306,1,749,64
,301,0,755,64
,295,26,735,64
,306,60,690,64
,336,87,633,64
,379,179,498,64
,411,163,482,64
,447,120,489,64
,464,80,512,64
,479,50,527,64
,490,5,561,64
,464,0,592,64
,439,1,616,64
,408,0,648,64
,393,10,653,64
,376,28,652,64
,371,4,681,64
,360,0,696,64
,335,1,720,64
,317,0,739,64
,291,1,764,64
,279,1,776,64
,259,13,784,64
,268,67,721,64
,306,153,597,64
,351,246,459,64
,386,200,470,64
,420,157,479,64
,450,122,484,64
,479,83,494,64
,498,39,519,64
,505,4,547,64
,477,1,578,64
,454,1,601,64
,427,0,629,64
,400,0,656,64
,372,2,682,64
,357,1,698,64
,345,2,709,64
,346,10,700,64
,345,22,689,64
,346,19,691,64
,347,39,670,64
,375,48,633,64
,380,108,568,64
,404,132,520,64
,436,132,488,64
,469,91,496,64
,503,62,491,64
,527,12,517,64
,508,0,548,64
,465,0,591,64
,438,1,617,64
,408,0,648,64
,385,6,665,64
,376,19,661,64
,372,32,652,64
,374,39,643,64
,376,19,661,64
,371,56,629,64
,378,76,602,64
,401,114,541,64
,435,125,496,64
,476,108,472,64
,509,64,483,64
,510,32,514,64
,510,3,543,64
,490,1,565,64
,476,0,580,64
,457,0,599,64
,426,0,630,64
,396,1,659,64
,371,2,683,64
,346,1,709,64
,322,2,732,64
,300,1,755,64
,271,1,784,64
,251,1,804,64
,234,1,821,64
,214,0,842,64
,197,1,858,64
,190,1,865,64
,176,1,879,64
,159,0,897,64
,147,0,909,64
,136,0,920,64
,124,1,931,64
,115,0,941,64
,107,1,948,64
,97,1,958,64
,91,28,937,64
,122,214,720,64
,168,423,465,64
,217,387,452,64
,264,340,452,64
,312,292,452,64
,363,242,451,64
,416,191,449,64
,457,138,461,64
,495,89,472,64
,524,28,504,64
,534,3,519,64
,515,1,540,64
,496,0,560,64
,480,0,576,64
,467,1,588,64
,437,0,619,64
,419,0,637,64
,395,0,661,64
,369,1,686,64
,355,1,700,64
,334,0,722,64
,323,0,733,64
,310,1,745,64
,292,0,764,64
,275,1,780,64
,254,0,802,64
,241,0,815,64
,220,1,835,64
,206,0,850,64
,189,2,865,64
,189,72,795,64
,211,220,625,64
,250,339,467,64
,295,304,457,64
,324,261,471,64
,361,232,463,64
,399,190,467,64
,430,146,480,64
,471,109,476,64
,509,65,482,64
,529,19,508,64
,522,2,532,64
,507,0,549,64
,489,1,566,64
,480,0,576,64
,462,0,594,64
,437,0,619,64
,415,1,640,64
,384,1,671,64
,373,1,682,64
,352,2,702,64
,340,3,713,64
,327,10,719,64
,310,3,743,64
,303,1,752,64
,276,2,778,64
,253,0,803,64
,225,12,819,64
,237,73,746,64
,263,163,630,64
,291,267,498,64
