BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:15:19:040 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],112,0,944,64
[min],0,0,439,64
[max],548,508,1056,64
[mean],368.022977,57.08291708,630.8941059,64
[steps],1000,1000,1000,1000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1056,64
,49,279,728,64
,109,508,439,64
,164,450,442,64
,219,394,443,64
,273,340,443,64
,324,286,446,64
,367,234,455,64
,408,187,461,64
,454,147,455,64
,494,95,467,64
,525,53,478,64
,536,14,506,64
,537,0,519,64
,510,0,546,64
,496,0,560,64
,483,0,573,64
,456,0,600,64
,430,0,626,64
,416,1,639,64
,400,0,656,64
,373,2,681,64
,353,10,693,64
,348,11,697,64
,349,65,642,64
,369,109,578,64
,406,130,520,64
,427,137,492,64
,457,104,495,64
,481,65,510,64
,500,36,520,64
,501,1,554,64
,466,5,585,64
,444,3,609,64
,422,9,625,64
,396,0,660,64
,369,1,686,64
,347,1,708,64
,333,0,723,64
,314,0,742,64
,295,0,761,64
,281,0,775,64
,265,0,791,64
,251,1,804,64
,240,1,815,64
,231,2,823,64
,221,2,833,64
,221,46,789,64
,248,110,698,64
,289,258,509,64
,332,268,456,64
,364,221,471,64
,407,181,468,64
,439,144,473,64
,474,86,496,64
,490,45,521,64
,483,25,548,64
,478,18,560,64
,472,3,581,64
,440,0,616,64
,414,1,641,64
,397,1,658,64
,382,1,673,64
,363,0,693,64
,347,3,706,64
,325,0,731,64
,309,0,747,64
,286,0,770,64
,265,2,789,64
,268,31,757,64
,277,22,757,64
,283,58,715,64
,303,179,574,64
,342,255,459,64
,375,217,464,64
,406,178,472,64
,435,144,477,64
,475,113,468,64
,502,67,487,64
,514,16,526,64
,488,1,567,64
,460,0,596,64
,436,0,620,64
,415,0,641,64
,385,3,668,64
,366,1,689,64
,350,0,706,64
,324,6,726,64
,329,32,695,64
,335,28,693,64
,339,1,716,64
,329,1,726,64
,318,0,738,64
,293,0,763,64
,273,0,783,64
,271,26,759,64
,283,68,705,64
,315,164,577,64
,348,237,471,64
,380,213,463,64
,411,181,464,64
,443,148,465,64
,479,106,471,64
,499,53,504,64
,518,14,524,64
,491,0,565,64
,468,1,587,64
,444,0,612,64
,427,1,628,64
,402,0,654,64
,376,2,678,64
,355,0,701,64
,333,0,723,64
,315,0,741,64
,299,4,753,64
,290,0,766,64
,272,1,783,64
,253,0,803,64
,239,1,816,64
,223,0,833,64
,213,0,843,64
,190,0,866,64
,165,21,870,64
,179,131,746,64
,226,329,501,64
,268,332,456,64
,299,291,466,64
,337,260,459,64
,374,222,460,64
,413,185,458,64
,455,141,460,64
,488,88,480,64
,514,36,506,64
,528,0,528,64
,502,0,554,64
,475,0,581,64
,465,0,591,64
,451,0,605,64
,434,0,622,64
,415,0,641,64
,391,1,664,64
,371,2,683,64
,370,36,650,64
,383,46,627,64
,406,53,597,64
,429,60,567,64
,450,69,537,64
,473,73,510,64
,488,41,527,64
,490,23,543,64
,489,1,566,64
,444,0,612,64
,415,6,635,64
,396,20,640,64
,393,37,626,64
,394,20,642,64
,380,1,675,64
,361,36,659,64
,367,90,599,64
,401,126,529,64
,428,121,507,64
,461,115,480,64
,480,77,499,64
,498,42,516,64
,512,8,536,64
,489,3,564,64
,471,2,583,64
,458,0,598,64
,435,0,621,64
,409,0,647,64
,394,36,626,64
,389,50,617,64
,411,59,586,64
,424,27,605,64
,429,31,596,64
,432,41,583,64
,437,41,578,64
,452,52,552,64
,463,40,553,64
,474,20,562,64
,453,1,602,64
,428,0,628,64
,401,1,654,64
,380,0,676,64
,358,0,698,64
,343,0,713,64
,320,0,736,64
,295,0,761,64
,271,0,785,64
,248,0,808,64
,235,1,820,64
,220,2,834,64
,201,0,855,64
,191,0,865,64
,175,1,880,64
,156,1,899,64
,151,1,904,64
,143,0,913,64
,131,0,925,64
,119,0,937,64
,110,0,946,64
,101,0,955,64
,94,0,962,64
,85,1,970,64
,79,0,977,64
,71,0,985,64
,59,1,996,64
,69,116,871,64
,115,411,530,64
,167,443,446,64
,218,391,447,64
,276,340,440,64
,326,282,448,64
,369,231,456,64
,419,187,450,64
,461,130,465,64
,500,88,468,64
,530,37,489,64
,533,3,520,64
