Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 4 (Java)
Wed May 23 12:28:09 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.69
movement?,false
initial-agent-density,66.0
vision,7.0
max-jail-term,50
visualization, N/A
initial-cop-density, 4.0
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],20000,20000,20000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,422,634,64
,60,658,338,64
,123,595,338,64
,178,540,338,64
,237,481,338,64
,290,428,338,64
,345,373,338,64
,396,322,338,64
,446,271,339,64
,497,209,350,64
,549,151,356,64
,601,80,375,64
,630,25,401,64
,641,1,414,64
,625,2,429,64
,615,1,440,64
,602,4,450,64
,590,5,461,64
,583,1,472,64
,564,0,492,64
,547,1,508,64
,538,3,515,64
,525,5,526,64
,511,4,541,64
,491,5,560,64
,475,5,576,64
,460,5,591,64
,451,3,602,64
,437,1,618,64
,421,5,630,64
,411,13,632,64
,399,5,652,64
,380,5,671,64
,367,3,686,64
,356,2,698,64
,340,3,713,64
,328,4,724,64
,317,3,736,64
,305,4,747,64
,289,36,731,64
,287,90,679,64
,313,226,517,64
,357,306,393,64
,402,313,341,64
,444,273,339,64
,485,233,338,64
,529,189,338,64
,569,145,342,64
,609,80,367,64
,633,29,394,64
,629,7,420,64
,609,3,444,64
,587,4,465,64
,567,1,488,64
,548,5,503,64
,517,5,534,64
,509,1,546,64
,489,2,565,64
,465,5,586,64
,453,2,601,64
,443,2,611,64
,430,2,624,64
,416,5,635,64
,409,0,647,64
,395,2,659,64
,378,2,676,64
,358,4,694,64
,346,3,707,64
,339,3,714,64
,328,2,726,64
,317,3,736,64
,304,5,747,64
,294,1,761,64
,281,5,770,64
,271,1,784,64
,258,1,797,64
,243,4,809,64
,230,5,821,64
,223,2,831,64
,212,3,841,64
,196,6,854,64
,188,5,863,64
,181,5,870,64
,169,12,875,64
,162,117,777,64
,190,346,520,64
,239,476,341,64
,288,430,338,64
,333,385,338,64
,374,344,338,64
,421,297,338,64
,468,250,338,64
,510,199,347,64
,556,150,350,64
,591,94,371,64
,625,34,397,64
,626,6,424,64
,611,6,439,64
,601,3,452,64
,590,2,464,64
,578,5,473,64
,559,9,488,64
,556,2,498,64
,547,1,508,64
,535,1,520,64
,514,4,538,64
,500,1,555,64
,486,5,565,64
,480,2,574,64
,464,5,587,64
,454,1,601,64
,433,6,617,64
,423,0,633,64
,405,2,649,64
,388,5,663,64
,377,4,675,64
,362,3,691,64
,350,3,703,64
,342,3,711,64
,328,2,726,64
,314,4,738,64
,292,4,760,64
,274,3,779,64
,260,5,791,64
,251,3,802,64
,240,3,813,64
,227,2,827,64
,211,8,837,64
,203,6,847,64
,196,3,857,64
,184,4,868,64
,175,1,880,64
,155,3,898,64
,148,3,905,64
,137,61,858,64
,146,327,583,64
,196,522,338,64
,245,473,338,64
,289,429,338,64
,340,378,338,64
,392,326,338,64
,431,287,338,64
,483,235,338,64
,532,184,340,64
,582,130,344,64
,627,57,372,64
,660,3,393,64
,642,6,408,64
,634,3,419,64
,624,1,431,64
,602,3,451,64
,594,1,461,64
,578,4,474,64
,563,3,490,64
,545,1,510,64
,532,5,519,64
,518,5,533,64
,509,1,546,64
,489,3,564,64
,471,24,561,64
,472,40,544,64
,475,23,558,64
,472,5,579,64
,460,33,563,64
,459,54,543,64
,468,17,571,64
,470,5,581,64
,453,13,590,64
,440,7,609,64
,426,6,624,64
,417,3,636,64
,400,4,652,64
,381,8,667,64
,362,5,689,64
,348,3,705,64
,333,0,723,64
,312,5,739,64
,295,3,758,64
,281,2,773,64
,272,7,777,64
,260,73,723,64
,259,269,528,64
,297,387,372,64
,340,378,338,64
,380,338,338,64
,415,303,338,64
,455,263,338,64
,498,212,346,64
,542,162,352,64
,580,116,360,64
,626,42,388,64
,642,3,411,64
,629,4,423,64
,610,5,441,64
,600,4,452,64
,587,13,456,64
,584,3,469,64
,570,2,484,64
,563,1,492,64
,548,5,503,64
,541,2,513,64
,526,2,528,64
,515,4,537,64
,502,2,552,64
,484,4,568,64
,470,4,582,64
,455,5,596,64
,443,5,608,64
,432,3,621,64
,416,2,638,64
,400,4,652,64
,385,5,666,64
,368,9,679,64
,358,26,672,64
,356,27,673,64
,358,9,689,64
,343,1,712,64
,331,2,723,64
,316,8,732,64
,306,3,747,64
,291,4,761,64
,280,2,774,64
,258,3,795,64
,245,12,799,64
,236,38,782,64
,235,75,746,64
,257,182,617,64
,291,361,404,64
,337,370,349,64
,387,327,342,64
,421,297,338,64
,458,259,339,64
,501,213,342,64
,539,165,352,64
,584,106,366,64
,625,41,390,64
,636,6,414,64
,620,1,435,64
,605,2,449,64
,594,3,459,64
,582,3,471,64
,570,2,484,64
,556,7,493,64
,550,3,503,64
,536,4,516,64
,528,4,524,64
,512,4,540,64
,505,2,549,64
,484,5,567,64
,475,2,579,64
,461,3,592,64
,453,2,601,64
,436,4,616,64
,423,4,629,64
,407,5,644,64
,400,2,654,64
,388,2,666,64
,377,3,676,64
,364,2,690,64
,350,43,663,64
,360,95,601,64
,375,139,542,64
,408,209,439,64
,452,224,380,64
,487,201,368,64
,520,161,375,64
,554,105,397,64
,585,66,405,64
,592,34,430,64
,588,18,450,64
,580,4,472,64
,560,5,491,64
,536,4,516,64
,517,9,530,64
,490,3,563,64
,470,2,584,64
,447,4,605,64
,424,5,627,64
,414,2,640,64
,396,3,657,64
,379,2,675,64
,368,12,676,64
,362,49,645,64
,373,113,570,64
,396,171,489,64
,440,205,411,64
,487,214,355,64
,534,171,351,64
,561,123,372,64
,591,70,395,64
,616,25,415,64
,617,3,436,64
,598,5,453,64
,590,1,465,64
,571,5,480,64
,557,4,495,64
,548,2,506,64
,538,2,516,64
,513,7,536,64
,507,5,544,64
,491,4,561,64
,474,5,577,64
,451,6,599,64
,440,3,613,64
,423,2,631,64
,403,5,648,64
,390,2,664,64
,368,50,638,64
,367,136,553,64
,392,228,436,64
,428,282,346,64
,465,252,339,64
,510,206,340,64
,544,165,347,64
,584,107,365,64
,619,43,394,64
,638,7,411,64
,622,3,431,64
,594,5,457,64
,580,2,474,64
,564,0,492,64
,544,3,509,64
,527,5,524,64
,517,4,535,64
,501,2,553,64
,483,2,571,64
,462,3,591,64
,448,2,606,64
,428,11,617,64
,417,5,634,64
,400,5,651,64
,382,4,670,64
,368,3,685,64
,360,3,693,64
,344,4,708,64
,326,5,725,64
,312,7,737,64
,306,5,745,64
,293,4,759,64
,289,2,765,64
,273,5,778,64
,266,4,786,64
,252,6,798,64
,246,3,807,64
,236,2,818,64
,227,2,827,64
,209,4,843,64
,205,4,847,64
,193,4,859,64
,189,4,863,64
,182,2,872,64
,173,2,881,64
,150,12,894,64
,150,14,892,64
,148,141,767,64
,182,382,492,64
,232,486,338,64
,277,441,338,64
,321,397,338,64
,364,354,338,64
,407,311,338,64
,450,268,338,64
,496,220,340,64
,546,162,348,64
,598,90,368,64
,646,23,387,64
,656,0,400,64
,640,3,413,64
,621,5,430,64
,608,6,442,64
,601,3,452,64
,587,5,464,64
,574,4,478,64
,557,4,495,64
,547,2,507,64
,534,5,517,64
,522,7,527,64
,511,4,541,64
,499,5,552,64
,494,0,562,64
,485,2,569,64
,478,16,562,64
,462,4,590,64
,443,5,608,64
,430,4,622,64
,417,3,636,64
,395,3,658,64
,386,3,667,64
,367,3,686,64
,356,4,696,64
,342,2,712,64
,327,4,725,64
,310,4,742,64
,296,3,757,64
,285,3,768,64
,272,25,759,64
,269,78,709,64
,291,132,633,64
,337,266,453,64
,374,336,346,64
,419,296,341,64
,463,255,338,64
,500,218,338,64
,540,169,347,64
,573,125,358,64
,614,50,392,64
,630,4,422,64
,606,2,448,64
,586,6,464,64
,565,4,487,64
,545,4,507,64
,531,6,519,64
,519,5,532,64
,516,3,537,64
,504,5,547,64
,491,3,562,64
,484,3,569,64
,476,4,576,64
,459,6,591,64
,450,49,557,64
,445,70,541,64
,467,88,501,64
,488,84,484,64
,515,55,486,64
,523,29,504,64
,527,2,527,64
,514,0,542,64
,494,16,546,64
,488,2,566,64
,464,2,590,64
,441,5,610,64
,430,4,622,64
,412,48,596,64
,420,75,561,64
,442,80,534,64
,464,96,496,64
,479,138,439,64
,517,121,418,64
,545,98,413,64
,568,59,429,64
,582,7,467,64
,555,8,493,64
,533,4,519,64
,516,1,539,64
,490,7,559,64
,474,4,578,64
,458,5,593,64
,439,3,614,64
,421,4,631,64
,411,1,644,64
,399,0,657,64
,385,3,668,64
,372,3,681,64
,352,38,666,64
,362,34,660,64
,361,58,637,64
,380,48,628,64
,400,8,648,64
,399,2,655,64
,391,3,662,64
,378,3,675,64
,365,3,688,64
,354,2,700,64
,341,3,712,64
,332,3,721,64
,323,0,733,64
,315,2,739,64
,300,2,754,64
,284,1,771,64
,269,3,784,64
,253,3,800,64
,242,5,809,64
,237,1,818,64
,218,4,834,64
,211,7,838,64
,212,1,843,64
,201,7,848,64
,194,2,860,64
,175,7,874,64
,173,2,881,64
,159,7,890,64
,154,1,901,64
,142,6,908,64
,134,7,915,64
,134,2,920,64
,124,1,931,64
,114,3,939,64
,109,3,944,64
,102,18,936,64
,113,126,817,64
,157,461,438,64
,211,507,338,64
,267,451,338,64
,318,400,338,64
,373,345,338,64
,431,287,338,64
,484,231,341,64
,529,183,344,64
,573,133,350,64
,618,43,395,64
,636,5,415,64
,622,4,430,64
,611,4,441,64
,590,7,459,64
,576,13,467,64
,576,2,478,64
,559,4,493,64
,548,5,503,64
,541,2,513,64
,533,3,520,64
,519,3,534,64
,505,8,543,64
,488,14,554,64
,477,10,569,64
,469,7,580,64
,458,2,596,64
,456,0,600,64
,437,5,614,64
,418,3,635,64
,405,4,647,64
,391,22,643,64
,391,4,661,64
,380,4,672,64
,373,2,681,64
,358,2,696,64
,343,5,708,64
,325,4,727,64
,311,18,727,64
,305,15,736,64
,290,116,650,64
,316,277,463,64
,360,349,347,64
,399,319,338,64
,445,272,339,64
,483,223,350,64
,520,182,354,64
,553,141,362,64
,590,82,384,64
,611,6,439,64
,592,4,460,64
,586,0,470,64
,550,2,504,64
,536,9,511,64
,519,3,534,64
,498,5,553,64
,485,3,568,64
,473,5,578,64
,460,6,590,64
,447,3,606,64
,427,51,578,64
,434,40,582,64
,445,3,608,64
,433,15,608,64
,431,53,572,64
,438,63,555,64
,456,63,537,64
,477,81,498,64
,492,82,482,64
,512,68,476,64
,536,42,478,64
,537,41,478,64
,546,43,467,64
,552,31,473,64
,560,4,492,64
,545,1,510,64
,518,6,532,64
,497,3,556,64
,473,10,573,64
,457,4,595,64
,447,1,608,64
,422,4,630,64
,410,3,643,64
,394,3,659,64
,381,4,671,64
,371,1,684,64
,354,3,699,64
,335,7,714,64
,322,13,721,64
,307,5,744,64
,296,1,759,64
,275,5,776,64
,271,2,783,64
,259,2,795,64
,245,7,804,64
,239,9,808,64
,230,79,747,64
,245,251,560,64
,295,406,355,64
,350,368,338,64
,396,322,338,64
,448,270,338,64
,493,224,339,64
,541,173,342,64
,583,112,361,64
,623,36,397,64
,633,5,418,64
,621,4,431,64
,603,2,451,64
,585,2,469,64
,567,5,484,64
,550,6,500,64
,520,9,527,64
,508,2,546,64
,484,4,568,64
,465,14,577,64
,469,1,586,64
,447,5,604,64
,432,6,618,64
,424,4,628,64
,417,11,628,64
,404,2,650,64
,390,4,662,64
,374,7,675,64
,372,2,682,64
,358,4,694,64
,345,5,706,64
,333,4,719,64
