Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 08 (Java),,,,
Wed May 23 13:07:19 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.76,,,
movement?,TRUE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],20000,20000,20000,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,219,837,64
,59,527,470,64
,117,478,461,64
,179,416,461,64
,239,356,461,64
,289,306,461,64
,338,257,461,64
,386,209,461,64
,437,141,478,64
,481,79,496,64
,513,2,541,64
,501,0,555,64
,487,15,554,64
,475,12,569,64
,462,3,591,64
,444,2,610,64
,423,3,630,64
,410,0,646,64
,387,2,667,64
,369,3,684,64
,351,1,704,64
,332,2,722,64
,318,1,737,64
,300,0,756,64
,279,1,776,64
,263,2,791,64
,251,1,804,64
,225,8,823,64
,203,9,844,64
,191,3,862,64
,171,22,863,64
,160,81,815,64
,169,262,625,64
,214,378,464,64
,252,343,461,64
,289,306,461,64
,329,266,461,64
,368,227,461,64
,402,185,469,64
,445,139,472,64
,487,74,495,64
,523,1,532,64
,505,3,548,64
,493,2,561,64
,473,3,580,64
,453,4,599,64
,428,2,626,64
,415,1,640,64
,399,3,654,64
,375,2,679,64
,350,6,700,64
,336,3,717,64
,313,1,742,64
,291,1,764,64
,271,3,782,64
,252,6,798,64
,236,0,820,64
,213,1,842,64
,198,1,857,64
,174,4,878,64
,160,2,894,64
,143,1,912,64
,121,4,931,64
,108,2,946,64
,95,4,957,64
,81,2,973,64
,74,14,968,64
,67,74,915,64
,82,301,673,64
,126,467,463,64
,174,421,461,64
,229,366,461,64
,280,315,461,64
,329,266,461,64
,372,223,461,64
,413,181,462,64
,459,118,479,64
,500,37,519,64
,512,3,541,64
,500,1,555,64
,481,2,573,64
,465,0,591,64
,435,4,617,64
,416,2,638,64
,403,1,652,64
,379,4,673,64
,372,2,682,64
,354,3,699,64
,335,4,717,64
,321,0,735,64
,301,3,752,64
,279,1,776,64
,253,1,802,64
,230,5,821,64
,218,4,834,64
,202,2,852,64
,180,1,875,64
,157,4,895,64
,134,65,857,64
,141,188,727,64
,171,399,486,64
,213,382,461,64
,259,336,461,64
,300,295,461,64
,327,267,462,64
,368,227,461,64
,405,183,468,64
,438,141,477,64
,477,85,494,64
,515,22,519,64
,507,7,542,64
,495,0,561,64
,475,3,578,64
,452,2,602,64
,437,1,618,64
,418,4,634,64
,395,2,659,64
,373,1,682,64
,361,1,694,64
,340,6,710,64
,328,0,728,64
,307,7,742,64
,296,0,760,64
,264,4,788,64
,251,0,805,64
,232,7,817,64
,213,6,837,64
,199,25,832,64
,192,85,779,64
,205,206,645,64
,247,339,470,64
,289,306,461,64
,320,275,461,64
,360,230,466,64
,394,199,463,64
,417,170,469,64
,460,126,470,64
,489,57,510,64
,502,8,546,64
,486,3,567,64
,466,1,589,64
,445,3,608,64
,430,1,625,64
,413,4,639,64
,399,3,654,64
,383,3,670,64
,367,1,688,64
,345,3,708,64
,329,2,725,64
,307,4,745,64
,285,7,764,64
,269,33,754,64
,264,52,740,64
,265,20,771,64
,265,2,789,64
,241,3,812,64
,216,6,834,64
,198,3,855,64
,189,2,865,64
,176,2,878,64
,152,7,897,64
,127,5,924,64
,113,1,942,64
,103,0,953,64
,86,4,966,64
,76,15,965,64
,76,57,923,64
,98,198,760,64
,142,436,478,64
,195,400,461,64
,249,346,461,64
,296,299,461,64
,347,248,461,64
,394,200,462,64
,435,155,466,64
,478,83,495,64
,501,28,527,64
,505,15,536,64
,491,15,550,64
,476,4,576,64
,460,3,593,64
,440,3,613,64
,420,4,632,64
,408,4,644,64
,391,1,664,64
,380,1,675,64
,361,3,692,64
,344,4,708,64
,331,2,723,64
,304,1,751,64
,282,4,770,64
,262,5,789,64
,249,5,802,64
,232,1,823,64
,212,3,841,64
,196,2,858,64
,173,2,881,64
,155,2,899,64
,143,2,911,64
,124,50,882,64
,126,260,670,64
,158,419,479,64
,198,397,461,64
,241,354,461,64
,283,312,461,64
,328,267,461,64
,376,218,462,64
,418,168,470,64
,463,100,493,64
,504,27,525,64
,506,3,547,64
,489,2,565,64
,468,5,583,64
,459,2,595,64
,442,3,611,64
,418,4,634,64
,404,4,648,64
,382,5,669,64
,366,18,672,64
,355,1,700,64
,336,22,698,64
,327,18,711,64
,315,4,737,64
,293,4,759,64
,273,4,779,64
,255,3,798,64
,233,6,817,64
,218,2,836,64
,197,0,859,64
,174,4,878,64
,158,1,897,64
,137,1,918,64
,118,5,933,64
,106,1,949,64
,89,2,965,64
,80,2,974,64
,65,4,987,64
,56,6,994,64
,54,1,1001,64
,51,2,1003,64
,42,40,974,64
,62,11,983,64
,68,4,984,64
,66,2,988,64
,67,0,989,64
,63,20,973,64
,73,93,890,64
,102,339,615,64
,158,437,461,64
,211,384,461,64
,258,337,461,64
,307,288,461,64
,356,239,461,64
,405,188,463,64
,453,134,469,64
,502,42,512,64
,511,4,541,64
,496,5,555,64
