Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 12 (Java)
Wed May 23 14:32:44 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.63
movement?,true
initial-agent-density,53.0
vision,7.0
max-jail-term,30
visualization, N/A
initial-cop-density, 7.8
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],20000,20000,20000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,99,749,124
,82,12,754,124
,91,3,754,124
,90,2,756,124
,87,3,758,124
,82,6,760,124
,86,2,760,124
,85,1,762,124
,78,5,765,124
,76,6,766,124
,77,4,767,124
,76,5,767,124
,78,3,767,124
,78,2,768,124
,69,10,769,124
,76,2,770,124
,73,5,770,124
,74,4,770,124
,74,4,770,124
,74,4,770,124
,75,3,770,124
,76,1,771,124
,72,5,771,124
,69,8,771,124
,72,5,771,124
,71,5,772,124
,63,10,775,124
,66,7,775,124
,64,8,776,124
,66,6,776,124
,67,5,776,124
,68,4,776,124
,71,1,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,65,7,776,124
,65,11,772,124
,72,3,773,124
,66,9,773,124
,71,4,773,124
,69,6,773,124
,72,3,773,124
,72,3,773,124
,71,4,773,124
,72,3,773,124
,66,9,773,124
,71,4,773,124
,70,5,773,124
,70,5,773,124
,68,7,773,124
,69,6,773,124
,67,8,773,124
,67,8,773,124
,69,6,773,124
,74,1,773,124
,70,5,773,124
,66,9,773,124
,71,4,773,124
,71,4,773,124
,70,5,773,124
,70,4,774,124
,70,4,774,124
,71,3,774,124
,70,3,775,124
,69,3,776,124
,69,3,776,124
,65,7,776,124
,68,4,776,124
,68,4,776,124
,68,4,776,124
,67,5,776,124
,69,3,776,124
,67,5,776,124
,67,5,776,124
,65,7,776,124
,63,9,776,124
,68,4,776,124
,69,3,776,124
,66,6,776,124
,66,6,776,124
,70,2,776,124
,65,7,776,124
,66,6,776,124
,69,3,776,124
,65,7,776,124
,69,3,776,124
,69,3,776,124
,66,6,776,124
,71,1,776,124
,67,5,776,124
,71,1,776,124
,69,3,776,124
,66,6,776,124
,68,4,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,65,7,776,124
,65,7,776,124
,65,7,776,124
,67,5,776,124
,70,2,776,124
,69,3,776,124
,62,10,776,124
,70,2,776,124
,66,6,776,124
,69,3,776,124
,64,8,776,124
,70,2,776,124
,62,10,776,124
,67,5,776,124
,69,3,776,124
,64,8,776,124
,67,5,776,124
,64,8,776,124
,68,4,776,124
,70,2,776,124
,66,6,776,124
,69,3,776,124
,67,5,776,124
,68,4,776,124
,69,3,776,124
,63,9,776,124
,68,4,776,124
,62,10,776,124
,62,10,776,124
,67,5,776,124
,66,6,776,124
,69,3,776,124
,65,7,776,124
,66,6,776,124
,66,6,776,124
,65,7,776,124
,68,4,776,124
,66,6,776,124
,64,8,776,124
,65,7,776,124
,69,3,776,124
,68,4,776,124
,68,4,776,124
,62,10,776,124
,70,2,776,124
,69,3,776,124
,67,5,776,124
,68,4,776,124
,68,4,776,124
,63,9,776,124
,66,6,776,124
,63,9,776,124
,69,3,776,124
,69,3,776,124
,68,4,776,124
,68,4,776,124
,69,3,776,124
,68,4,776,124
,70,2,776,124
,66,6,776,124
,68,4,776,124
,67,5,776,124
,65,7,776,124
,66,6,776,124
,67,5,776,124
,70,2,776,124
,69,3,776,124
,66,6,776,124
,67,5,776,124
,70,2,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,65,7,776,124
,70,2,776,124
,67,5,776,124
,68,4,776,124
,69,3,776,124
,66,6,776,124
,66,6,776,124
,67,5,776,124
,68,4,776,124
,67,5,776,124
,69,3,776,124
,64,8,776,124
,69,3,776,124
,64,8,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,67,5,776,124
,66,6,776,124
,69,3,776,124
,67,5,776,124
,66,6,776,124
,69,3,776,124
,67,5,776,124
,65,7,776,124
,65,7,776,124
,68,4,776,124
,69,3,776,124
,66,6,776,124
,67,5,776,124
,68,4,776,124
,66,6,776,124
,69,3,776,124
,66,6,776,124
,68,4,776,124
,72,0,776,124
,67,5,776,124
,66,6,776,124
,67,5,776,124
,65,7,776,124
,69,3,776,124
,67,5,776,124
,65,7,776,124
,66,6,776,124
,66,6,776,124
,67,5,776,124
,68,4,776,124
,67,5,776,124
,65,7,776,124
,66,6,776,124
,69,3,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,65,7,776,124
,67,5,776,124
,67,5,776,124
,69,3,776,124
,70,2,776,124
,66,6,776,124
,66,6,776,124
,69,3,776,124
,65,7,776,124
,69,3,776,124
,68,4,776,124
,66,6,776,124
,64,8,776,124
,67,5,776,124
,66,6,776,124
,64,8,776,124
,69,3,776,124
,68,4,776,124
,66,6,776,124
,68,4,776,124
,68,4,776,124
,64,8,776,124
,71,1,776,124
,65,7,776,124
,71,1,776,124
,67,5,776,124
,68,4,776,124
,68,4,776,124
,65,7,776,124
,66,6,776,124
,65,7,776,124
,67,5,776,124
,70,2,776,124
,70,2,776,124
,68,4,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,68,4,776,124
,67,5,776,124
,70,2,776,124
,67,5,776,124
,70,2,776,124
,68,4,776,124
,68,4,776,124
,66,6,776,124
,61,11,776,124
,63,9,776,124
,66,6,776,124
,67,5,776,124
,67,5,776,124
,70,2,776,124
,67,5,776,124
,68,4,776,124
,64,8,776,124
,67,5,776,124
,70,2,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,66,6,776,124
,70,2,776,124
,66,6,776,124
,69,3,776,124
,67,5,776,124
,70,2,776,124
,65,7,776,124
,69,3,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,66,6,776,124
,70,2,776,124
,66,6,776,124
,68,4,776,124
,63,9,776,124
,68,4,776,124
,70,2,776,124
,65,7,776,124
,70,2,776,124
,69,3,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,67,5,776,124
,61,11,776,124
,66,6,776,124
,64,8,776,124
,68,4,776,124
,65,7,776,124
,69,3,776,124
,69,3,776,124
,67,5,776,124
,65,7,776,124
,69,3,776,124
,63,9,776,124
,65,7,776,124
,68,4,776,124
,66,6,776,124
,67,5,776,124
,66,6,776,124
,61,11,776,124
,70,2,776,124
,65,7,776,124
,68,4,776,124
,68,4,776,124
,70,2,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,69,3,776,124
,68,4,776,124
,66,6,776,124
,66,6,776,124
,65,7,776,124
,69,3,776,124
,68,4,776,124
,68,4,776,124
,66,6,776,124
,65,7,776,124
,67,5,776,124
,63,9,776,124
,68,4,776,124
,67,5,776,124
,65,7,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,71,1,776,124
,67,5,776,124
,68,4,776,124
,64,8,776,124
,68,4,776,124
,63,9,776,124
,65,7,776,124
,60,12,776,124
,66,6,776,124
,69,3,776,124
,64,8,776,124
,68,4,776,124
,68,4,776,124
,65,7,776,124
,71,1,776,124
,69,3,776,124
,70,2,776,124
,67,5,776,124
,69,3,776,124
,71,1,776,124
,69,3,776,124
,66,6,776,124
,68,4,776,124
,71,1,776,124
,65,7,776,124
,70,2,776,124
,67,5,776,124
,68,4,776,124
,69,3,776,124
,64,8,776,124
,63,9,776,124
,70,2,776,124
,63,9,776,124
,63,9,776,124
,69,3,776,124
,64,8,776,124
,63,9,776,124
,68,4,776,124
,65,7,776,124
,69,3,776,124
,68,4,776,124
,65,7,776,124
,67,5,776,124
,69,3,776,124
,70,2,776,124
,70,2,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,69,3,776,124
,69,3,776,124
,68,4,776,124
,70,2,776,124
,70,2,776,124
,67,5,776,124
,67,5,776,124
,67,5,776,124
,62,10,776,124
,63,9,776,124
,64,8,776,124
,65,7,776,124
,68,4,776,124
,65,7,776,124
,66,6,776,124
,66,6,776,124
,69,3,776,124
,66,6,776,124
,69,3,776,124
,65,7,776,124
,69,3,776,124
,66,6,776,124
,67,5,776,124
,68,4,776,124
,64,8,776,124
,67,5,776,124
,67,5,776,124
,68,4,776,124
,66,6,776,124
,69,3,776,124
,66,6,776,124
,60,12,776,124
,62,10,776,124
,67,5,776,124
,64,8,776,124
,72,0,776,124
,68,4,776,124
,65,7,776,124
,67,5,776,124
,70,2,776,124
,71,1,776,124
,71,1,776,124
,63,9,776,124
,66,6,776,124
,67,5,776,124
,69,3,776,124
,65,7,776,124
,67,5,776,124
,71,1,776,124
,69,3,776,124
,70,2,776,124
,67,5,776,124
,67,5,776,124
,67,5,776,124
,70,2,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,68,4,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,70,2,776,124
,68,4,776,124
,64,8,776,124
,70,2,776,124
,67,5,776,124
,70,2,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,71,1,776,124
,67,5,776,124
,69,3,776,124
,68,4,776,124
,67,5,776,124
,66,6,776,124
,66,6,776,124
,66,6,776,124
,63,9,776,124
,67,5,776,124
,67,5,776,124
,68,4,776,124
,69,3,776,124
,69,3,776,124
,66,6,776,124
,63,9,776,124
,69,3,776,124
,66,6,776,124
,66,6,776,124
,62,10,776,124
,67,5,776,124
,67,5,776,124
,70,2,776,124
,68,4,776,124
,64,8,776,124
,69,3,776,124
,68,4,776,124
,67,5,776,124
,66,6,776,124
,62,10,776,124
,67,5,776,124
,68,4,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,63,9,776,124
,68,4,776,124
,67,5,776,124
,68,4,776,124
,67,5,776,124
,69,3,776,124
,69,3,776,124
,67,5,776,124
,69,3,776,124
,69,3,776,124
,69,3,776,124
,64,8,776,124
,65,7,776,124
,66,6,776,124
,64,8,776,124
,66,6,776,124
,65,7,776,124
,67,5,776,124
,67,5,776,124
,68,4,776,124
,69,3,776,124
,67,5,776,124
,67,5,776,124
,67,5,776,124
,69,3,776,124
,65,7,776,124
,65,7,776,124
,69,3,776,124
,68,4,776,124
,67,5,776,124
,67,5,776,124
,70,2,776,124
,68,4,776,124
,70,2,776,124
,67,5,776,124
,67,5,776,124
,66,6,776,124
,68,4,776,124
,65,7,776,124
,64,8,776,124
,65,7,776,124
,68,4,776,124
,67,5,776,124
,72,0,776,124
,65,7,776,124
,68,4,776,124
,66,6,776,124
,65,7,776,124
,66,6,776,124
,68,4,776,124
,68,4,776,124
,65,7,776,124
,66,6,776,124
,67,5,776,124
,71,1,776,124
,70,2,776,124
,69,3,776,124
,66,6,776,124
,69,3,776,124
,70,2,776,124
,67,5,776,124
,70,2,776,124
,70,2,776,124
,69,3,776,124
,65,7,776,124
,66,6,776,124
,61,11,776,124
,65,7,776,124
,67,5,776,124
,71,1,776,124
,67,5,776,124
,68,4,776,124
,70,2,776,124
,65,7,776,124
,64,8,776,124
,66,6,776,124
,66,6,776,124
,67,5,776,124
,69,3,776,124
,69,3,776,124
,67,5,776,124
,63,9,776,124
,68,4,776,124
,66,6,776,124
,70,2,776,124
,69,3,776,124
,69,3,776,124
,69,3,776,124
,68,4,776,124
,68,4,776,124
,68,4,776,124
,69,3,776,124
,65,7,776,124
,64,8,776,124
,71,1,776,124
,66,6,776,124
,69,3,776,124
,68,4,776,124
,69,3,776,124
