Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 14 (Java).csv
Thu May 24 06:02:30 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.18
movement?,true
initial-agent-density,70.0
vision,7.0
max-jail-term,20
visualization, N/A
initial-cop-density, 4.0
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],2000,2000,2000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,667,453,64
,58,844,218,64
,109,627,384,64
,158,306,656,64
,209,223,688,64
,252,176,692,64
,298,124,698,64
,326,91,703,64
,357,53,710,64
,380,27,713,64
,386,19,715,64
,382,15,723,64
,362,32,726,64
,369,18,733,64
,357,26,737,64
,346,32,742,64
,338,32,750,64
,328,31,761,64
,321,34,765,64
,316,33,771,64
,299,48,773,64
,304,40,776,64
,297,47,776,64
,306,38,776,64
,300,44,776,64
,309,35,776,64
,311,33,776,64
,298,46,776,64
,304,40,776,64
,318,26,776,64
,303,41,776,64
,319,25,776,64
,301,43,776,64
,314,30,776,64
,306,38,776,64
,310,34,776,64
,305,39,776,64
,305,39,776,64
,301,43,776,64
,293,51,776,64
,313,31,776,64
,310,34,776,64
,306,38,776,64
,311,33,776,64
,311,33,776,64
,312,32,776,64
,311,33,776,64
,309,35,776,64
,302,42,776,64
,306,38,776,64
,307,37,776,64
,295,49,776,64
,307,37,776,64
,315,29,776,64
,305,39,776,64
,314,30,776,64
,308,36,776,64
,309,35,776,64
,302,42,776,64
,295,49,776,64
,316,28,776,64
,317,27,776,64
,306,38,776,64
,315,29,776,64
,317,27,776,64
,309,35,776,64
,312,32,776,64
,310,34,776,64
,307,37,776,64
,313,31,776,64
,313,31,776,64
,300,44,776,64
,311,33,776,64
,305,39,776,64
,305,39,776,64
,311,33,776,64
,308,36,776,64
,301,43,776,64
,307,37,776,64
,302,42,776,64
,307,37,776,64
,305,39,776,64
,303,41,776,64
,307,37,776,64
,309,35,776,64
,296,48,776,64
,307,37,776,64
,308,36,776,64
,303,41,776,64
,302,42,776,64
,305,39,776,64
,309,35,776,64
,303,41,776,64
,312,32,776,64
,310,34,776,64
,304,40,776,64
,296,48,776,64
,313,31,776,64
,308,36,776,64
,301,43,776,64
,309,35,776,64
,312,32,776,64
,306,38,776,64
,314,30,776,64
,316,28,776,64
,315,29,776,64
,307,37,776,64
,309,35,776,64
,307,37,776,64
,303,41,776,64
,299,45,776,64
,296,48,776,64
,306,38,776,64
,309,35,776,64
,312,32,776,64
,308,36,776,64
,318,26,776,64
,313,31,776,64
,304,40,776,64
,295,49,776,64
,317,27,776,64
,308,36,776,64
,309,35,776,64
,295,49,776,64
,294,50,776,64
,306,38,776,64
,313,31,776,64
,301,43,776,64
,303,41,776,64
,316,28,776,64
,311,33,776,64
,314,30,776,64
,309,35,776,64
,309,35,776,64
,312,32,776,64
,310,34,776,64
,309,35,776,64
,297,47,776,64
,305,39,776,64
,311,33,776,64
,308,36,776,64
,313,31,776,64
,302,42,776,64
,301,43,776,64
,299,45,776,64
,304,40,776,64
,302,42,776,64
,319,25,776,64
,304,40,776,64
,313,31,776,64
,298,46,776,64
,310,34,776,64
,311,33,776,64
,300,44,776,64
,312,32,776,64
,307,37,776,64
,310,34,776,64
,301,43,776,64
,318,26,776,64
,315,29,776,64
,301,43,776,64
,297,47,776,64
,306,38,776,64
,311,33,776,64
,311,33,776,64
,299,45,776,64
,307,37,776,64
,306,38,776,64
,317,27,776,64
,304,40,776,64
,307,37,776,64
,316,28,776,64
,303,41,776,64
,300,44,776,64
,307,37,776,64
,311,33,776,64
,309,35,776,64
,305,39,776,64
,309,35,776,64
,306,38,776,64
,306,38,776,64
,310,34,776,64
,310,34,776,64
,308,36,776,64
,304,40,776,64
,305,39,776,64
,317,27,776,64
,306,38,776,64
,308,36,776,64
,308,36,776,64
,306,38,776,64
,314,30,776,64
,302,42,776,64
,318,26,776,64
,300,44,776,64
,309,35,776,64
,299,45,776,64
,311,33,776,64
,310,34,776,64
,309,35,776,64
,307,37,776,64
,302,42,776,64
,314,30,776,64
,311,33,776,64
,318,26,776,64
,315,29,776,64
,313,31,776,64
,312,32,776,64
,307,37,776,64
,305,39,776,64
,306,38,776,64
,312,32,776,64
,314,30,776,64
,303,41,776,64
,317,27,776,64
,314,30,776,64
,299,45,776,64
,307,37,776,64
,315,29,776,64
,307,37,776,64
,305,39,776,64
,319,25,776,64
,302,42,776,64
,313,31,776,64
,306,38,776,64
,304,40,776,64
,298,46,776,64
,304,40,776,64
,316,28,776,64
,303,41,776,64
,309,35,776,64
,304,40,776,64
,310,34,776,64
,309,35,776,64
,311,33,776,64
,301,43,776,64
,304,40,776,64
,295,49,776,64
,306,38,776,64
,306,38,776,64
,314,30,776,64
,305,39,776,64
,311,33,776,64
,306,38,776,64
,304,40,776,64
,307,37,776,64
,302,42,776,64
,304,40,776,64
,302,42,776,64
,318,26,776,64
,302,42,776,64
,311,33,776,64
,311,33,776,64
,302,42,776,64
,295,49,776,64
,301,43,776,64
,305,39,776,64
,312,32,776,64
,314,30,776,64
,306,38,776,64
,308,36,776,64
,311,33,776,64
,313,31,776,64
,310,34,776,64
,308,36,776,64
,312,32,776,64
,304,40,776,64
,302,42,776,64
,307,37,776,64
,294,50,776,64
,307,37,776,64
,305,39,776,64
,306,38,776,64
,309,35,776,64
,321,23,776,64
,322,22,776,64
,310,34,776,64
,300,44,776,64
,315,29,776,64
,314,30,776,64
,306,38,776,64
,301,43,776,64
,302,42,776,64
,299,45,776,64
,309,35,776,64
,300,44,776,64
,312,32,776,64
,305,39,776,64
,318,26,776,64
,290,54,776,64
,316,28,776,64
,309,35,776,64
,305,39,776,64
,319,25,776,64
,309,35,776,64
,300,44,776,64
,305,39,776,64
,309,35,776,64
,316,28,776,64
,306,38,776,64
,302,42,776,64
,303,41,776,64
,295,49,776,64
,297,47,776,64
,309,35,776,64
,309,35,776,64
,316,28,776,64
,303,41,776,64
,315,29,776,64
,305,39,776,64
,318,26,776,64
,304,40,776,64
,315,29,776,64
,310,34,776,64
,307,37,776,64
,306,38,776,64
,314,30,776,64
,312,32,776,64
,307,37,776,64
,306,38,776,64
,316,28,776,64
,313,31,776,64
,312,32,776,64
,316,28,776,64
,303,41,776,64
,305,39,776,64
,312,32,776,64
,295,49,776,64
,300,44,776,64
,301,43,776,64
,308,36,776,64
,305,39,776,64
,300,44,776,64
,310,34,776,64
,312,32,776,64
,302,42,776,64
,299,45,776,64
,314,30,776,64
,307,37,776,64
,295,49,776,64
,307,37,776,64
,312,32,776,64
,311,33,776,64
,302,42,776,64
,308,36,776,64
,307,37,776,64
,304,40,776,64
,307,37,776,64
,306,38,776,64
,305,39,776,64
,308,36,776,64
,310,34,776,64
,305,39,776,64
,299,45,776,64
,306,38,776,64
,304,40,776,64
,311,33,776,64
,308,36,776,64
,307,37,776,64
,308,36,776,64
,306,38,776,64
,296,48,776,64
,295,49,776,64
,309,35,776,64
,304,40,776,64
,302,42,776,64
,311,33,776,64
,315,29,776,64
,309,35,776,64
,311,33,776,64
,312,32,776,64
,304,40,776,64
,314,30,776,64
,308,36,776,64
,307,37,776,64
,295,49,776,64
,305,39,776,64
,310,34,776,64
,293,51,776,64
,300,44,776,64
,298,46,776,64
,298,46,776,64
,312,32,776,64
,300,44,776,64
,309,35,776,64
,307,37,776,64
,324,20,776,64
,314,30,776,64
,309,35,776,64
,311,33,776,64
,306,38,776,64
,309,35,776,64
,314,30,776,64
,299,45,776,64
,314,30,776,64
,309,35,776,64
,309,35,776,64
,308,36,776,64
,306,38,776,64
,313,31,776,64
,312,32,776,64
,308,36,776,64
,315,29,776,64
,313,31,776,64
,307,37,776,64
,308,36,776,64
,298,46,776,64
,304,40,776,64
,312,32,776,64
,309,35,776,64
,305,39,776,64
,305,39,776,64
,302,42,776,64
,307,37,776,64
,297,47,776,64
,306,38,776,64
,312,32,776,64
,323,21,776,64
,302,42,776,64
,305,39,776,64
,306,38,776,64
,311,33,776,64
,311,33,776,64
,311,33,776,64
,296,48,776,64
,298,46,776,64
,306,38,776,64
,307,37,776,64
,301,43,776,64
,306,38,776,64
,306,38,776,64
,309,35,776,64
,311,33,776,64
,309,35,776,64
,311,33,776,64
,313,31,776,64
,295,49,776,64
,304,40,776,64
,313,31,776,64
,294,50,776,64
,310,34,776,64
,316,28,776,64
,308,36,776,64
,300,44,776,64
,306,38,776,64
,312,32,776,64
,311,33,776,64
,309,35,776,64
,314,30,776,64
,309,35,776,64
,315,29,776,64
,313,31,776,64
,308,36,776,64
,316,28,776,64
,322,22,776,64
,306,38,776,64
,314,30,776,64
,298,46,776,64
,293,51,776,64
,305,39,776,64
,304,40,776,64
,312,32,776,64
,304,40,776,64
,310,34,776,64
,308,36,776,64
,313,31,776,64
,310,34,776,64
,307,37,776,64
,300,44,776,64
,308,36,776,64
,307,37,776,64
,301,43,776,64
,305,39,776,64
,318,26,776,64
,296,48,776,64
,312,32,776,64
,307,37,776,64
,311,33,776,64
,306,38,776,64
,305,39,776,64
,309,35,776,64
,307,37,776,64
,301,43,776,64
,314,30,776,64
,309,35,776,64
,293,51,776,64
,312,32,776,64
,319,25,776,64
,305,39,776,64
,310,34,776,64
,305,39,776,64
,303,41,776,64
,309,35,776,64
,304,40,776,64
,316,28,776,64
,309,35,776,64
,311,33,776,64
,310,34,776,64
,303,41,776,64
,310,34,776,64
,301,43,776,64
,315,29,776,64
,320,24,776,64
,301,43,776,64
,308,36,776,64
,298,46,776,64
,299,45,776,64
,301,43,776,64
,312,32,776,64
,317,27,776,64
,301,43,776,64
,300,44,776,64
,308,36,776,64
,313,31,776,64
,314,30,776,64
,314,30,776,64
,318,26,776,64
,308,36,776,64
,314,30,776,64
,315,29,776,64
,307,37,776,64
,303,41,776,64
,307,37,776,64
,306,38,776,64
,307,37,776,64
,289,55,776,64
,305,39,776,64
,296,48,776,64
,305,39,776,64
,306,38,776,64
,309,35,776,64
,305,39,776,64
,305,39,776,64
,305,39,776,64
,307,37,776,64
,312,32,776,64
,305,39,776,64
,311,33,776,64
,314,30,776,64
,308,36,776,64
,311,33,776,64
,310,34,776,64
,299,45,776,64
,305,39,776,64
,306,38,776,64
,303,41,776,64
,309,35,776,64
,312,32,776,64
,303,41,776,64
,308,36,776,64
,299,45,776,64
,306,38,776,64
,300,44,776,64
,311,33,776,64
,305,39,776,64
,309,35,776,64
,311,33,776,64
,310,34,776,64
,316,28,776,64
,304,40,776,64
,313,31,776,64
,308,36,776,64
,299,45,776,64
,307,37,776,64
,305,39,776,64
,309,35,776,64
,321,23,776,64
,312,32,776,64
,309,35,776,64
,309,35,776,64
,312,32,776,64
,313,31,776,64
,313,31,776,64
,305,39,776,64
,302,42,776,64
,311,33,776,64
,312,32,776,64
,302,42,776,64
,313,31,776,64
,310,34,776,64
,304,40,776,64
,304,40,776,64
,309,35,776,64
,309,35,776,64
,306,38,776,64
,311,33,776,64
,292,52,776,64
,311,33,776,64
,306,38,776,64
,304,40,776,64
,318,26,776,64
,301,43,776,64
,297,47,776,64
,311,33,776,64
,306,38,776,64
,318,26,776,64
,312,32,776,64
,315,29,776,64
,311,33,776,64
,315,29,776,64
,295,49,776,64
,297,47,776,64
,305,39,776,64
,307,37,776,64
,305,39,776,64
,312,32,776,64
,297,47,776,64
,313,31,776,64
,307,37,776,64
,300,44,776,64
,323,21,776,64
,309,35,776,64
,316,28,776,64
,311,33,776,64
,302,42,776,64
,313,31,776,64
,310,34,776,64
