Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 0 (Java),,,,
Wed May 23 18:51:32 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.03,,,
movement?,TRUE,,,
initial-agent-density,70,,,
vision,7,,,
max-jail-term,30,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],500,500,500,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,903,217,64
,59,942,119,64
,119,882,119,64
,177,824,119,64
,234,767,119,64
,282,719,119,64
,326,675,119,64
,366,635,119,64
,407,594,119,64
,448,553,119,64
,494,507,119,64
,534,467,119,64
,578,423,119,64
,609,392,119,64
,640,361,119,64
,669,332,119,64
,698,303,119,64
,721,280,119,64
,743,258,119,64
,776,225,119,64
,792,209,119,64
,820,176,124,64
,835,158,127,64
,855,130,135,64
,858,126,136,64
,870,97,153,64
,878,74,168,64
,866,46,208,64
,856,36,228,64
,838,29,253,64
,792,50,278,64
,779,55,286,64
,749,109,262,64
,743,185,192,64
,749,247,124,64
,749,250,121,64
,757,240,123,64
,773,222,125,64
,775,222,123,64
,770,231,119,64
,777,224,119,64
,789,211,120,64
,794,205,121,64
,785,215,120,64
,795,203,122,64
,808,190,122,64
,816,184,120,64
,825,173,122,64
,826,172,122,64
,835,160,125,64
,847,142,131,64
,849,126,145,64
,847,133,140,64
,855,113,152,64
,862,95,163,64
,866,75,179,64
,864,47,209,64
,851,41,228,64
,827,40,253,64
,801,34,285,64
,767,48,305,64
,739,47,334,64
,718,71,331,64
,701,189,230,64
,708,270,142,64
,724,277,119,64
,727,274,119,64
,734,263,123,64
,733,266,121,64
,740,260,120,64
,728,272,120,64
,739,262,119,64
,737,264,119,64
,738,263,119,64
,737,263,120,64
,746,255,119,64
,750,250,120,64
,754,245,121,64
,761,238,121,64
,770,229,121,64
,771,229,120,64
,786,215,119,64
,800,198,122,64
,813,184,123,64
,823,176,121,64
,822,174,124,64
,836,157,127,64
,839,149,132,64
,843,146,131,64
,852,125,143,64
,873,89,158,64
,865,95,160,64
,856,90,174,64
,841,88,191,64
,829,97,194,64
,832,88,200,64
,837,67,216,64
,825,89,206,64
,789,139,192,64
,805,147,168,64
,806,174,140,64
,798,185,137,64
,801,185,134,64
,794,200,126,64
,809,191,120,64
,803,195,122,64
,799,202,119,64
,793,208,119,64
,810,191,119,64
,816,184,120,64
,822,177,121,64
,832,158,130,64
,826,162,132,64
,832,154,134,64
,836,144,140,64
,858,109,153,64
,858,101,161,64
,860,73,187,64
,837,71,212,64
,830,39,251,64
,818,29,273,64
,796,23,301,64
,760,46,314,64
,750,48,322,64
,739,88,293,64
,720,183,217,64
,726,269,125,64
,725,276,119,64
,721,280,119,64
,736,265,119,64
,754,241,125,64
,769,231,120,64
,776,225,119,64
,769,232,119,64
,764,236,120,64
,763,238,119,64
,773,227,120,64
,757,243,120,64
,765,236,119,64
,774,226,120,64
,765,236,119,64
,773,228,119,64
,782,219,119,64
,801,200,119,64
,819,182,119,64
,828,167,125,64
,842,146,132,64
,843,135,142,64
,855,125,140,64
,859,120,141,64
,866,96,158,64
,861,74,185,64
,845,68,207,64
,834,57,229,64
,815,39,266,64
,795,47,278,64
,776,56,288,64
,769,61,290,64
,744,39,337,64
,722,45,353,64
,713,89,318,64
,707,119,294,64
,706,239,175,64
,718,280,122,64
,727,274,119,64
,724,277,119,64
,732,269,119,64
,753,243,124,64
,757,242,121,64
,757,242,121,64
,776,225,119,64
,786,215,119,64
,781,214,125,64
,783,216,121,64
,804,196,120,64
,820,179,121,64
,826,163,131,64
,831,154,135,64
,836,145,139,64
,828,157,135,64
,822,170,128,64
,827,169,124,64
,826,164,130,64
,832,158,130,64
,848,135,137,64
,841,134,145,64
,844,118,158,64
,829,117,174,64
,845,107,168,64
,843,87,190,64
,843,51,226,64
,807,59,254,64
,793,54,273,64
,765,77,278,64
,754,127,239,64
,750,207,163,64
,759,240,121,64
,774,224,122,64
,767,233,120,64
,772,226,122,64
,779,218,123,64
,789,210,121,64
,785,212,123,64
,789,207,124,64
,801,200,119,64
,805,193,122,64
,817,183,120,64
,817,181,122,64
,822,177,121,64
,825,165,130,64
,830,161,129,64
,838,133,149,64
,840,115,165,64
,848,100,172,64
,854,101,165,64
,853,99,168,64
,846,99,175,64
,834,97,189,64
,827,106,187,64
,820,121,179,64
,818,138,164,64
,806,154,160,64
,798,190,132,64
,792,200,128,64
,785,211,124,64
,796,201,123,64
,802,196,122,64
,808,188,124,64
,816,176,128,64
,816,170,134,64
,816,183,121,64
,804,193,123,64
,796,201,123,64
,793,206,121,64
,813,187,120,64
,819,181,120,64
,825,173,122,64
,838,157,125,64
,838,149,133,64
,833,152,135,64
,832,147,141,64
,841,145,134,64
,844,139,137,64
,848,127,145,64
,855,113,152,64
,861,88,171,64
,848,82,190,64
,849,80,191,64
,827,70,223,64
,817,76,227,64
,812,85,223,64
,789,121,210,64
,790,135,195,64
,792,167,161,64
,790,191,139,64
,798,196,126,64
,801,195,124,64
,788,211,121,64
