Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 0 (Java),,,,
Wed May 23 18:50:02 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.03,,,
movement?,TRUE,,,
initial-agent-density,70,,,
vision,7,,,
max-jail-term,30,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],500,500,500,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,928,192,64
,60,934,126,64
,117,877,126,64
,174,820,126,64
,230,763,127,64
,281,712,127,64
,326,667,127,64
,372,620,128,64
,414,577,129,64
,463,528,129,64
,507,484,129,64
,550,441,129,64
,584,407,129,64
,619,372,129,64
,653,338,129,64
,684,307,129,64
,714,277,129,64
,746,244,130,64
,769,221,130,64
,785,203,132,64
,800,187,133,64
,818,164,138,64
,828,142,150,64
,848,126,146,64
,855,106,159,64
,853,92,175,64
,849,67,204,64
,839,63,218,64
,812,54,254,64
,794,47,279,64
,775,37,308,64
,735,74,311,64
,732,111,277,64
,730,164,226,64
,734,237,149,64
,746,238,136,64
,755,229,136,64
,775,208,137,64
,790,191,139,64
,792,187,141,64
,803,172,145,64
,816,157,147,64
,823,134,163,64
,819,127,174,64
,825,110,185,64
,805,133,182,64
,806,122,192,64
,809,119,192,64
,811,99,210,64
,812,69,239,64
,791,96,233,64
,797,95,228,64
,798,83,239,64
,799,87,234,64
,786,96,238,64
,779,122,219,64
,782,152,186,64
,784,155,181,64
,791,151,178,64
,800,132,188,64
,806,138,176,64
,810,142,168,64
,801,167,152,64
,801,170,149,64
,801,161,158,64
,805,151,164,64
,808,141,171,64
,803,156,161,64
,815,149,156,64
,833,126,161,64
,837,114,169,64
,835,103,182,64
,842,84,194,64
,828,77,215,64
,820,58,242,64
,800,73,247,64
,791,84,245,64
,780,99,241,64
,773,89,258,64
,770,93,257,64
,777,93,250,64
,779,42,299,64
,771,31,318,64
,737,48,335,64
,728,64,328,64
,707,113,300,64
,704,204,212,64
,695,264,161,64
,705,267,148,64
,724,248,148,64
,738,234,148,64
,745,221,154,64
,755,211,154,64
,765,196,159,64
,765,194,161,64
,751,214,155,64
,752,217,151,64
,752,215,153,64
,763,206,151,64
,775,193,152,64
,775,194,151,64
,787,180,153,64
,783,182,155,64
,796,173,151,64
,799,161,160,64
,799,142,179,64
,799,136,185,64
,813,121,186,64
,818,108,194,64
,817,94,209,64
,827,78,215,64
,823,50,247,64
,805,32,283,64
,762,39,319,64
,740,54,326,64
,705,106,309,64
,697,176,247,64
,703,233,184,64
,717,239,164,64
,717,245,158,64
,733,230,157,64
,729,225,166,64
,748,213,159,64
,756,187,177,64
,758,188,174,64
,765,189,166,64
,777,182,161,64
,782,171,167,64
,780,172,168,64
,777,174,169,64
,795,155,170,64
,796,142,182,64
,804,129,187,64
,822,115,183,64
,827,83,210,64
,822,63,235,64
,807,55,258,64
,795,58,267,64
,778,32,310,64
,745,31,344,64
,730,50,340,64
,720,80,320,64
,715,80,325,64
,709,68,343,64
,698,66,356,64
,676,78,366,64
,668,95,357,64
,670,146,304,64
,674,223,223,64
,664,279,177,64
,670,279,171,64
,676,273,171,64
,694,255,171,64
,716,227,177,64
,723,222,175,64
,730,213,177,64
,734,212,174,64
,741,202,177,64
,755,179,186,64
,771,176,173,64
,784,152,184,64
,789,142,189,64
,785,133,202,64
,785,132,203,64
,805,73,242,64
,805,29,286,64
,779,16,325,64
,734,29,357,64
,700,27,393,64
,680,18,422,64
,645,25,450,64
,623,25,472,64
,601,19,500,64
,577,15,528,64
,548,14,558,64
,514,24,582,64
,486,17,617,64
,453,34,633,64
,442,37,641,64
,427,109,584,64
,421,383,316,64
,448,489,183,64
,474,463,183,64
,496,441,183,64
,537,399,184,64
,561,375,184,64
,584,349,187,64
,602,330,188,64
,627,305,188,64
,645,287,188,64
,663,269,188,64
,694,238,188,64
,713,218,189,64
,730,197,193,64
,745,176,199,64
,758,158,204,64
,776,137,207,64
,793,109,218,64
,791,76,253,64
,782,53,285,64
,772,45,303,64
,765,14,341,64
,739,12,369,64
,690,19,411,64
,664,8,448,64
,627,12,481,64
,587,11,522,64
,548,52,520,64
,525,70,525,64
,533,104,483,64
,541,248,331,64
,546,368,206,64
,562,350,208,64
,566,345,209,64
,574,337,209,64
,598,313,209,64
,604,306,210,64
,622,288,210,64
,631,279,210,64
,651,259,210,64
,672,237,211,64
,678,231,211,64
,690,213,217,64
,703,205,212,64
,719,190,211,64
,736,158,226,64
,753,115,252,64
,761,56,303,64
,750,17,353,64
,730,10,380,64
,704,15,401,64
,681,11,428,64
,642,19,459,64
,616,11,493,64
,585,12,523,64
,552,16,552,64
,517,28,575,64
,493,15,612,64
,471,13,636,64
,443,41,636,64
,421,128,571,64
,431,332,357,64
,450,448,222,64
,476,422,222,64
,502,395,223,64
,520,376,224,64
,549,347,224,64
,564,329,227,64
,589,304,227,64
,598,293,229,64
,619,271,230,64
,643,247,230,64
,662,223,235,64
,676,206,238,64
,699,188,233,64
,718,164,238,64
,740,137,243,64
,756,94,270,64
