JAILED,ACTIVE,QUIET,COPS
0,0,1056,64
36,70,950,64
85,376,595,64
144,432,480,64
202,375,479,64
259,315,482,64
307,259,490,64
357,212,487,64
407,161,488,64
449,102,505,64
485,39,532,64
499,3,554,64
480,0,576,64
467,0,589,64
450,0,606,64
431,1,624,64
408,1,647,64
385,0,671,64
367,0,689,64
356,2,698,64
346,1,709,64
331,0,725,64
321,0,735,64
307,1,748,64
288,1,767,64
272,0,784,64
257,23,776,64
251,59,746,64
284,132,640,64
317,219,520,64
349,200,507,64
386,169,501,64
420,131,505,64
439,82,535,64
452,36,568,64
450,5,601,64
421,0,635,64
404,0,652,64
388,0,668,64
362,1,693,64
346,0,710,64
341,0,715,64
325,0,731,64
317,0,739,64
308,1,747,64
297,0,759,64
283,9,764,64
270,31,755,64
298,98,660,64
334,181,541,64
369,182,505,64
406,139,511,64
440,93,523,64
463,42,551,64
470,2,584,64
445,3,608,64
418,0,638,64
397,7,652,64
373,8,675,64
362,8,686,64
346,0,710,64
313,0,743,64
302,1,753,64
287,0,769,64
275,0,781,64
259,0,797,64
247,2,807,64
234,0,822,64
222,1,833,64
211,3,842,64
200,3,853,64
191,1,864,64
176,0,880,64
164,0,892,64
154,1,901,64
144,0,912,64
129,1,926,64
114,1,941,64
103,0,953,64
91,1,964,64
82,0,974,64
73,0,983,64
64,1,991,64
58,0,998,64
54,3,999,64
68,95,893,64
122,339,595,64
176,395,485,64
225,341,490,64
276,294,486,64
317,241,498,64
365,200,491,64
415,152,489,64
458,98,500,64
486,35,535,64
495,4,557,64
479,2,575,64
474,0,582,64
457,0,599,64
436,1,619,64
417,2,637,64
397,1,658,64
372,1,683,64
359,0,697,64
347,0,709,64
323,0,733,64
305,1,750,64
291,1,764,64
277,0,779,64
264,0,792,64
241,0,815,64
217,0,839,64
198,0,858,64
192,36,828,64
206,157,693,64
239,296,521,64
277,278,501,64
312,240,504,64
348,205,503,64
377,169,510,64
411,134,511,64
446,100,510,64
479,49,528,64
488,6,562,64
465,2,589,64
452,0,604,64
432,0,624,64
407,1,648,64
387,0,669,64
368,0,688,64
356,1,699,64
343,0,713,64
320,0,736,64
308,0,748,64
284,0,772,64
281,22,753,64
283,38,735,64
297,48,711,64
329,75,652,64
355,138,563,64
389,146,521,64
421,112,523,64
449,64,543,64
463,11,582,64
444,1,611,64
412,1,643,64
383,0,673,64
349,1,706,64
330,0,726,64
301,0,755,64
289,1,766,64
278,1,777,64
267,0,789,64
257,1,798,64
247,0,809,64
237,1,818,64
221,1,834,64
208,1,847,64
202,0,854,64
191,17,848,64
204,77,775,64
241,230,585,64
278,275,503,64
320,239,497,64
356,197,503,64
398,161,497,64
443,114,499,64
481,45,530,64
496,5,555,64
466,0,590,64
442,0,614,64
410,0,646,64
389,0,667,64
374,0,682,64
357,0,699,64
345,7,704,64
333,9,714,64
329,19,708,64
328,3,725,64
317,22,717,64
324,14,718,64
324,13,719,64
324,2,730,64
307,0,749,64
290,0,766,64
270,0,786,64
252,0,804,64
239,1,816,64
223,0,833,64
204,0,852,64
187,0,869,64
170,1,885,64
151,0,905,64
135,0,921,64
119,0,937,64
116,0,940,64
104,1,951,64
91,0,965,64
83,2,971,64
78,2,976,64
76,0,980,64
73,0,983,64
65,1,990,64
63,1,992,64
65,2,989,64
65,0,991,64
64,0,992,64
62,0,994,64
54,1,1001,64
56,40,960,64
95,248,713,64
146,422,488,64
192,373,491,64
250,325,481,64
299,267,490,64
349,219,488,64
397,170,489,64
440,111,505,64
481,55,520,64
496,5,555,64
486,0,570,64
468,0,588,64
455,0,601,64
441,1,614,64
419,0,637,64
408,0,648,64
388,2,666,64
379,15,662,64
379,3,674,64
359,1,696,64
340,0,716,64
323,0,733,64
296,1,759,64
271,1,784,64
255,0,801,64
244,1,811,64
225,0,831,64
199,1,856,64
184,0,872,64
162,0,894,64
149,1,906,64
137,1,918,64
116,1,939,64
102,0,954,64
89,1,966,64
86,48,922,64
131,261,664,64
172,382,502,64
221,346,489,64
269,296,491,64
324,248,484,64
370,196,490,64
419,140,497,64
466,77,513,64
495,36,525,64
505,5,546,64
486,1,569,64
476,1,579,64
463,0,593,64
438,0,618,64
423,0,633,64
407,0,649,64
379,0,677,64
361,0,695,64
349,0,707,64
326,2,728,64
308,1,747,64
292,0,764,64
274,0,782,64
257,0,799,64
237,0,819,64
212,4,840,64
199,44,813,64
215,166,675,64
251,279,526,64
285,268,503,64
323,233,500,64
363,195,498,64
409,155,492,64
447,104,505,64
479,44,533,64
492,0,564,64
465,1,590,64
442,1,613,64
428,1,627,64
411,0,645,64
394,0,662,64
373,0,683,64
355,0,701,64
342,0,714,64
326,0,730,64
308,1,747,64
287,1,768,64
268,0,788,64
251,0,805,64
235,0,821,64
215,0,841,64
207,0,849,64
191,0,865,64
182,0,874,64
168,0,888,64
150,0,906,64
129,0,927,64
123,0,933,64
113,2,941,64
95,0,961,64
77,0,979,64
66,1,989,64
64,0,992,64
57,0,999,64
49,0,1007,64
47,0,1009,64
53,3,1000,64
56,0,1000,64
57,1,998,64
56,13,987,64
72,34,950,64
105,152,799,64
161,378,517,64
215,356,485,64
265,304,487,64
316,253,487,64
367,201,488,64
416,150,490,64
474,94,488,64
510,27,519,64
502,0,554,64
486,0,570,64
468,0,588,64
454,1,601,64
428,0,628,64
415,0,641,64
399,0,657,64
381,1,674,64
364,0,692,64
343,1,712,64
332,0,724,64
319,0,737,64
299,0,757,64
282,0,774,64
260,0,796,64
248,0,808,64
229,0,827,64
208,0,848,64
184,2,870,64
170,1,885,64
151,0,905,64
139,0,917,64
121,0,935,64
99,0,957,64
91,0,965,64
79,22,955,64
92,122,842,64
134,381,541,64
180,384,492,64
229,337,490,64
277,291,488,64
321,241,494,64
373,197,486,64
423,146,487,64
458,94,504,64
491,32,533,64
499,4,553,64
488,0,568,64
467,3,586,64
453,0,603,64
430,0,626,64
416,0,640,64
394,0,662,64
378,0,678,64
358,0,698,64
342,1,713,64
326,0,730,64
307,2,747,64
310,38,708,64
330,72,654,64
358,125,573,64
395,142,519,64
436,104,516,64
462,45,549,64
465,12,579,64
443,0,613,64
416,0,640,64
388,0,668,64
368,0,688,64
347,1,708,64
319,1,736,64
299,0,757,64
275,0,781,64
253,3,800,64
235,0,821,64
224,1,831,64
209,0,847,64
193,0,863,64
187,1,868,64
181,0,875,64
173,0,883,64
164,0,892,64
152,3,901,64
163,57,836,64
193,184,679,64
235,319,502,64
281,282,493,64
330,237,489,64
361,187,508,64
396,152,508,64
433,110,513,64
468,63,525,64
483,11,562,64
471,1,584,64
440,0,616,64
430,1,625,64
