BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03 (NetLogo),,,,
05/23/2018 04:41:59:105 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],318,268,470,64
[min],0,0,451,64
[max],550,483,1056,64
[mean],342.0622234,56.25819355,657.679583,64
[steps],40000,40000,40000,40000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1056,64
,31,172,853,64
,92,483,481,64
,152,451,453,64
,205,391,460,64
,264,338,454,64
,316,279,461,64
,364,228,464,64
,407,175,474,64
,458,135,463,64
,496,79,481,64
,520,26,510,64
,522,2,532,64
,506,0,550,64
,488,0,568,64
,471,0,585,64
,450,0,606,64
,423,0,633,64
,401,1,654,64
,390,0,666,64
,365,0,691,64
,352,5,699,64
,342,29,685,64
,341,18,697,64
,330,0,726,64
,308,1,747,64
,285,4,767,64
,276,49,731,64
,290,103,663,64
,329,203,524,64
,362,215,479,64
,402,182,472,64
,434,139,483,64
,453,97,506,64
,487,66,503,64
,499,15,542,64
,474,0,582,64
,452,0,604,64
,429,0,627,64
,410,1,645,64
,384,0,672,64
,368,0,688,64
,348,0,708,64
,334,0,722,64
,315,0,741,64
,297,0,759,64
,279,0,777,64
,269,19,768,64
,280,74,702,64
,310,123,623,64
,347,213,496,64
,386,197,473,64
,424,157,475,64
,458,113,485,64
,494,65,497,64
,512,15,529,64
,492,1,563,64
,475,1,580,64
,453,0,603,64
,432,1,623,64
,413,0,643,64
,388,1,667,64
,352,0,704,64
,335,0,721,64
,313,0,743,64
,294,0,762,64
,276,2,778,64
,261,1,794,64
,247,1,808,64
,239,0,817,64
,228,4,824,64
,221,1,834,64
,207,0,849,64
,195,0,861,64
,188,1,867,64
,174,0,882,64
,152,0,904,64
,140,0,916,64
,121,1,934,64
,104,0,952,64
,87,2,967,64
,75,1,980,64
,68,1,987,64
,58,0,998,64
,50,1,1005,64
,42,0,1014,64
,48,1,1007,64
,43,3,1010,64
,61,84,911,64
,115,391,550,64
,172,428,456,64
,230,371,455,64
,272,315,469,64
,328,270,458,64
,374,218,464,64
,418,171,467,64
,461,122,473,64
,501,66,489,64
,524,8,524,64
,503,1,552,64
,485,0,571,64
,474,0,582,64
,460,1,595,64
,447,0,609,64
,428,0,628,64
,416,0,640,64
,399,1,656,64
,377,0,679,64
,345,1,710,64
,326,0,730,64
,305,2,749,64
,286,1,769,64
,272,15,769,64
,271,22,763,64
,286,42,728,64
,310,147,599,64
,350,212,494,64
,380,190,486,64
,408,157,491,64
,439,128,489,64
,457,91,508,64
,483,61,512,64
,491,34,531,64
,492,11,553,64
,471,1,584,64
,440,0,616,64
,408,1,647,64
,384,0,672,64
,357,0,699,64
,353,1,702,64
,338,1,717,64
,325,1,730,64
,309,0,747,64
,294,1,761,64
,284,11,761,64
,282,62,712,64
,310,101,645,64
,345,163,548,64
,383,191,482,64
,418,145,493,64
,449,111,496,64
,479,63,514,64
,495,17,544,64
,475,7,574,64
,454,0,602,64
,421,0,635,64
,391,2,663,64
,377,1,678,64
,354,0,702,64
,339,12,705,64
,336,17,703,64
,339,42,675,64
,349,63,644,64
,377,90,589,64
,416,121,519,64
,456,110,490,64
,489,66,501,64
,510,9,537,64
,490,5,561,64
,468,4,584,64
,456,0,600,64
,427,0,629,64
,417,0,639,64
,401,0,655,64
,378,0,678,64
,363,8,685,64
,348,12,696,64
,341,13,702,64
,332,2,722,64
,310,1,745,64
,292,11,753,64
,288,47,721,64
,301,85,670,64
,326,153,577,64
,368,205,483,64
,402,176,478,64
,432,137,487,64
,467,95,494,64
,492,48,516,64
,504,15,537,64
,485,1,570,64
,456,0,600,64
,426,0,630,64
,397,0,659,64
,377,0,679,64
,353,0,703,64
,333,1,722,64
,317,0,739,64
,304,1,751,64
,301,13,742,64
,302,28,726,64
,307,43,706,64
,342,91,623,64
,369,167,520,64
,410,167,479,64
,455,124,477,64
,483,70,503,64
,511,19,526,64
,495,1,560,64
,473,1,582,64
,442,0,614,64
,413,0,643,64
,392,0,664,64
,363,0,693,64
,338,6,712,64
,314,31,711,64
,332,24,700,64
,339,46,671,64
,361,122,573,64
,392,135,529,64
,430,137,489,64
,468,94,494,64
,498,56,502,64
,514,18,524,64
,506,2,548,64
,488,0,568,64
,455,0,601,64
,429,0,627,64
