BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 15,,,,
05/23/2018 15:32:26:387 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.26,,,
movement?,FALSE,,,
initial-agent-density,70,,,
vision,5,,,
max-jail-term,50,,,
visualization,3D,,,
initial-cop-density,5,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],728,15,377,80
[min],0,0,159,80
[max],891,813,1120,80
[mean],765.3683816,28.79136043,325.840258,80
[steps],20000,20000,20000,20000
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,0,1120,80
,73,761,286,80
,145,813,162,80
,221,740,159,80
,292,664,164,80
,365,593,162,80
,433,520,167,80
,499,453,168,80
,564,385,171,80
,631,320,169,80
,690,253,177,80
,755,190,175,80
,814,119,187,80
,861,59,200,80
,888,22,210,80
,891,5,224,80
,878,3,239,80
,873,0,247,80
,844,2,274,80
,831,7,282,80
,819,2,299,80
,805,5,310,80
,797,5,318,80
,786,9,325,80
,781,9,330,80
,770,4,346,80
,748,1,371,80
,738,20,362,80
,733,24,363,80
,743,34,343,80
,749,51,320,80
,774,40,306,80
,782,42,296,80
,788,29,303,80
,808,35,277,80
,812,30,278,80
,812,9,299,80
,801,13,306,80
,791,7,322,80
,768,9,343,80
,774,23,323,80
,764,14,342,80
,755,8,357,80
,746,1,373,80
,726,4,390,80
,717,4,399,80
,686,5,429,80
,685,16,419,80
,670,2,448,80
,662,11,447,80
,658,28,434,80
,664,55,401,80
,683,92,345,80
,714,123,283,80
,740,131,249,80
,779,117,224,80
,807,71,242,80
,823,59,238,80
,834,43,243,80
,841,12,267,80
,826,6,288,80
,797,6,317,80
,796,2,322,80
,784,3,333,80
,765,5,350,80
,750,22,348,80
,742,20,358,80
,747,18,355,80
,741,18,361,80
,731,10,379,80
,716,17,387,80
,737,52,331,80
,734,49,337,80
,753,33,334,80
,757,5,358,80
,743,13,364,80
,731,34,355,80
,730,57,333,80
,736,77,307,80
,758,67,295,80
,784,46,290,80
,791,61,268,80
,791,52,277,80
,800,42,278,80
,813,14,293,80
,806,3,311,80
,786,8,326,80
,775,17,328,80
,784,24,312,80
,780,12,328,80
,763,30,327,80
,758,35,327,80
,767,37,316,80
,778,33,309,80
,778,26,316,80
,775,28,317,80
,776,27,317,80
,788,36,296,80
,779,25,316,80
,775,19,326,80
,770,10,340,80
,744,6,370,80
,741,9,370,80
,730,6,384,80
,714,2,404,80
,709,6,405,80
,695,9,416,80
,690,24,406,80
,702,49,369,80
,723,77,320,80
,739,68,313,80
,771,49,300,80
,792,54,274,80
,801,55,264,80
,812,41,267,80
,821,24,275,80
,828,11,281,80
,811,1,308,80
,785,6,329,80
,786,2,332,80
,769,8,343,80
,751,4,365,80
,741,5,374,80
,724,8,388,80
,718,16,386,80
,704,22,394,80
,704,30,386,80
,708,45,367,80
,725,55,340,80
,753,37,330,80
,759,25,336,80
,762,32,326,80
,769,45,306,80
,776,57,287,80
,782,48,290,80
,778,30,312,80
,788,16,316,80
,785,5,330,80
,756,4,360,80
,742,10,368,80
,738,14,368,80
,712,5,403,80
,705,15,400,80
,690,32,398,80
,711,58,351,80
,739,48,333,80
,748,34,338,80
,749,35,336,80
,741,47,332,80
,749,60,311,80
,766,54,300,80
,773,25,322,80
,771,22,327,80
,761,8,351,80
,740,37,343,80
,745,74,301,80
,770,53,297,80
,773,42,305,80
,781,33,306,80
,783,46,291,80
,806,35,279,80
,808,16,296,80
,802,9,309,80
,805,5,310,80
,786,10,324,80
,783,6,331,80
,767,6,347,80
,763,8,349,80
,744,8,368,80
,735,6,379,80
,725,13,382,80
,729,41,350,80
,743,55,322,80
,758,51,311,80
,759,46,315,80
,764,24,332,80
,756,31,333,80
,751,35,334,80
,744,46,330,80
,748,64,308,80
,770,66,284,80
,781,58,281,80
,789,40,291,80
,791,26,303,80
,795,13,312,80
,775,14,331,80
,770,18,332,80
,765,15,340,80
,755,10,355,80
,758,28,334,80
,758,35,327,80
,770,23,327,80
,767,9,344,80
,763,6,351,80
,743,10,367,80
,731,7,382,80
,715,8,397,80
,713,17,390,80
,715,24,381,80
,732,29,359,80
,736,49,335,80
,754,64,302,80
,761,45,314,80
,753,25,342,80
,758,29,333,80
,764,37,319,80
,771,48,301,80
,786,32,302,80
,798,32,290,80
,801,12,307,80
,792,20,308,80
,776,19,325,80
,760,21,339,80
,762,33,325,80
,777,25,318,80
,784,7,329,80
,768,1,351,80
,753,9,358,80
,744,9,367,80
